OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU0676	k__Bacteria	p__Firmicutes	c__Clostridia	o__OPB54	f__	g__	s__
OTU0677	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__	g__	s__
OTU0678	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__	s__
OTU0679	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__
OTU0680	k__Bacteria	p__GAL15	c__	o__	f__	g__	s__
OTU0681	k__Bacteria	p__GN02	c__3BR-5F	o__	f__	g__	s__
OTU0682	k__Bacteria	p__GN02	c__BB34	o__	f__	g__	s__
OTU0683	k__Bacteria	p__GN02	c__BD1-5	o__	f__	g__	s__
OTU0684	k__Bacteria	p__GN02	c__GKS2-174	o__	f__	g__	s__
OTU0685	k__Bacteria	p__GN02	c__GN07	o__	f__	g__	s__
OTU0686	k__Bacteria	p__GN02	c__GN10	o__	f__	g__	s__
OTU0687	k__Bacteria	p__GN02	c__IIB17	o__	f__	g__	s__
OTU0688	k__Bacteria	p__GN04	c__5bav_B12	o__	f__	g__	s__
OTU0689	k__Bacteria	p__GN04	c__	o__	f__	g__	s__
OTU0690	k__Bacteria	p__GN04	c__GN15	o__	f__	g__	s__
OTU0691	k__Bacteria	p__GOUTA4	c__	o__	f__	g__	s__
OTU0692	k__Bacteria	p__Gemmatimonadetes	c__	o__	f__	g__	s__
OTU0693	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
OTU0694	k__Bacteria	p__Gemmatimonadetes	c__Gemm-2	o__	f__	g__	s__
OTU0695	k__Bacteria	p__Gemmatimonadetes	c__Gemm-3	o__	f__	g__	s__
OTU0696	k__Bacteria	p__Gemmatimonadetes	c__Gemm-5	o__	f__	g__	s__
OTU0697	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__	f__	g__	s__
OTU0698	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__C114	f__	g__	s__
OTU0699	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
OTU0700	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__	g__	s__
OTU0701	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__A1-B1	g__	s__
OTU0702	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Ellin5301	g__	s__
OTU0703	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
OTU0704	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__KD8-87	f__	g__	s__
OTU0705	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__N1423WL	f__	g__	s__
OTU0706	k__Bacteria	p__Gemmatimonadetes	c__JL-ETNP-Z39	o__	f__	g__	s__
OTU0707	k__Bacteria	p__Kazan-3B-28	c__	o__	f__	g__	s__
OTU0708	k__Bacteria	p__Lentisphaerae	c__[Lentisphaeria]	o__Z20	f__	g__	s__
OTU0709	k__Bacteria	p__MVP-21	c__	o__	f__	g__	s__
OTU0710	k__Bacteria	p__NC10	c__12-24	o__	f__	g__	s__
OTU0711	k__Bacteria	p__NC10	c__12-24	o__JH-WHS47	f__	g__	s__
OTU0712	k__Bacteria	p__NC10	c__12-24	o__Methylomirabiliales	f__Methylomirabiliaceae	g__	s__
OTU0713	k__Bacteria	p__NC10	c__12-24	o__Methylomirabiliales	f__Methylomirabiliaceae	g__Candidatus Methylomirabilis	s__
OTU0714	k__Bacteria	p__NC10	c__	o__	f__	g__	s__
OTU0715	k__Bacteria	p__NKB19	c__	o__	f__	g__	s__
OTU0716	k__Bacteria	p__NKB19	c__TSBW08	o__	f__	g__	s__
OTU0717	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__0319-6A21	g__	s__
OTU0718	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__4-29	g__	s__
OTU0719	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__	g__	s__
OTU0720	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__FW	g__4-29	s__
OTU0721	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__	s__
OTU0722	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__JG37-AG-70	s__
OTU0723	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	__
OTU0724	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__
OTU0725	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__[Leptospirillaceae]	g__	s__
OTU0726	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__[Thermodesulfovibrionaceae]	g__	s__
OTU0727	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__[Thermodesulfovibrionaceae]	g__BD2-6	s__
OTU0728	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__[Thermodesulfovibrionaceae]	g__GOUTA19	s__
OTU0729	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__[Thermodesulfovibrionaceae]	g__HB118	s__
OTU0730	k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__[Thermodesulfovibrionaceae]	g__LCP-6	s__
OTU0731	k__Bacteria	p__OC31	c__	o__	f__	g__	s__
OTU0732	k__Bacteria	p__OD1	__	__	__	__	__
OTU0733	k__Bacteria	p__OD1	c__	o__	f__	g__	s__
OTU0734	k__Bacteria	p__OD1	c__ABY1	o__	f__	g__	s__
OTU0735	k__Bacteria	p__OD1	c__Mb-NB09	o__	f__	g__	s__
OTU0736	k__Bacteria	p__OD1	c__SM2F11	o__	f__	g__	s__
OTU0737	k__Bacteria	p__OD1	c__ZB2	o__	f__	g__	s__
OTU0738	k__Bacteria	p__OP11	c__	o__	f__	g__	s__
OTU0739	k__Bacteria	p__OP11	c__OP11-1	o__	f__	g__	s__
OTU0740	k__Bacteria	p__OP11	c__OP11-3	o__	f__	g__	s__
OTU0741	k__Bacteria	p__OP11	c__OP11-4	o__	f__	g__	s__
OTU0742	k__Bacteria	p__OP11	c__WCHB1-64	o__d153	f__	g__	s__
OTU0743	k__Bacteria	p__OP1	c__[Acetothermia]	o__[Acetothermales]	f__	g__	s__
OTU0744	k__Bacteria	p__OP3	c__BD4-9	o__	f__	g__	s__
OTU0745	k__Bacteria	p__OP3	c__PBS-25	o__	f__	g__	s__
OTU0746	k__Bacteria	p__OP3	c__koll11	o__	f__	g__	s__
OTU0747	k__Bacteria	p__OP3	c__koll11	o__GIF10	f__	g__	s__
OTU0748	k__Bacteria	p__OP8	c__OP8_1	o__	f__	g__	s__
OTU0749	k__Bacteria	p__OP8	c__OP8_1	o__SHA-124	f__	g__	s__
OTU0750	k__Bacteria	p__PAUC34f	c__	o__	f__	g__	s__
OTU0751	k__Bacteria	p__Planctomycetes	__	__	__	__	__
OTU0752	k__Bacteria	p__Planctomycetes	c__028H05-P-BN-P5	o__	f__	g__	s__
OTU0753	k__Bacteria	p__Planctomycetes	c__	o__	f__	g__	s__
OTU0754	k__Bacteria	p__Planctomycetes	c__BD7-11	o__	f__	g__	s__
OTU0755	k__Bacteria	p__Planctomycetes	c__C6	o__MVS-107	f__	g__	s__
OTU0756	k__Bacteria	p__Planctomycetes	c__C6	o__d113	f__	g__	s__
OTU0757	k__Bacteria	p__Planctomycetes	c__ODP123	o__	f__	g__	s__
OTU0758	k__Bacteria	p__Planctomycetes	c__ODP123	o__T8-B82	f__	g__	s__
OTU0759	k__Bacteria	p__Planctomycetes	c__OM190	o__	f__	g__	s__
OTU0760	k__Bacteria	p__Planctomycetes	c__OM190	o__CL500-15	f__	g__	s__
OTU0761	k__Bacteria	p__Planctomycetes	c__OM190	o__agg27	f__	g__	s__
OTU0762	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	__	__	__	__
OTU0763	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__AKAU3564	f__	g__	s__
OTU0764	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__CCM11a	f__	g__	s__
OTU0765	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__CPla-3	f__	g__	s__
OTU0766	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__MSBL9	f__	g__	s__
OTU0767	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	__	__	__
OTU0768	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__	g__	s__
OTU0769	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__	s__
OTU0770	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Pla1	f__	g__	s__
OTU0771	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__S-70	f__	g__	s__
OTU0772	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__SHUX583	f__	g__	s__
OTU0773	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__	g__	s__
OTU0774	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__mle1-8	f__	g__	s__
OTU0775	k__Bacteria	p__Planctomycetes	c__Pla3	o__	f__	g__	s__
OTU0776	k__Bacteria	p__Planctomycetes	c__Pla4	o__	f__	g__	s__
OTU0777	k__Bacteria	p__Planctomycetes	c__Planctomycetia	__	__	__	__
OTU0778	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__B97	f__	g__	s__
OTU0779	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	__	__	__
OTU0780	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	__	__
OTU0781	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__	s__
OTU0782	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__Gemmata	__
OTU0783	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__
OTU0784	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__obscuriglobus
OTU0785	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	__	__
OTU0786	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__	s__
OTU0787	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__Nostocoida	__
OTU0788	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__Nostocoida	s__limicola
OTU0789	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__Nostocoida	s__limicola III
OTU0790	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Gemmatales	f__Isosphaeraceae	g__Singulisphaera	s__
OTU0791	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	__	__
OTU0792	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__	s__
OTU0793	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__A17	s__
OTU0794	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__
OTU0795	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__
OTU0796	k__Bacteria	p__Planctomycetes	c__vadinHA49	o__DH61	f__	g__	s__
OTU0797	k__Bacteria	p__Planctomycetes	c__vadinHA49	o__p04_C01	f__	g__	s__
OTU0798	k__Bacteria	p__Proteobacteria	__	__	__	__	__
OTU0799	k__Bacteria	p__Proteobacteria	c__	o__	f__	g__	s__
OTU0800	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	__	__	__	__
OTU0801	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__	f__	g__	s__
OTU0802	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__BD7-3	f__	g__	s__
OTU0803	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	__	__	__
OTU0804	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	__	__
OTU0805	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
OTU0806	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Arthrospira	__
OTU0807	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Arthrospira	s__
OTU0808	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Arthrospira	s__fusiformis
OTU0809	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__
OTU0810	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__biprosthecium
OTU0811	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__
OTU0812	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	__
OTU0813	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__
OTU0814	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__henricii
OTU0815	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Mycoplana	s__
OTU0816	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__
OTU0817	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Ellin329	f__	g__	s__
OTU0818	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__RF32	f__	g__	s__
OTU0819	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	__	__	__
OTU0820	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__	g__	s__
OTU0821	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__Martelella	s__
OTU0822	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	__	__
OTU0823	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__	s__
OTU0824	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylocella	s__
OTU0825	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methyloferula	s__stellata
OTU0826	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	__	__
OTU0827	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__	s__
OTU0828	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Balneimonas	s__
OTU0829	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bosea	s__genosp.
OTU0830	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	__
OTU0831	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__
OTU0832	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Brucellaceae	__	__
OTU0833	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Brucellaceae	g__Ochrobactrum	s__
OTU0834	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Cohaesibacteraceae	g__	s__
OTU0835	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	__	__
OTU0836	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__
OTU0837	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Devosia	s__
OTU0838	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	__
OTU0839	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__
OTU0840	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Parvibaculum	s__
OTU0841	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Pedomicrobium	s__
OTU0842	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodomicrobium	s__vannielii
OTU0843	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	__
OTU0844	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__
OTU0845	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Rhodoplanes	s__elegans
OTU0846	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	__	__
OTU0847	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__	s__
OTU0848	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	__
OTU0849	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__adhaesivum
OTU0850	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	__	__
OTU0851	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__	s__
OTU0852	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Methylopila	s__
OTU0853	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Methylosinus	s__
OTU0854	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Pleomorphomonas	s__
OTU0855	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylocystaceae	g__Rhodoblastus	__
OTU0856	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	__	__
OTU0857	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__	s__
OTU0858	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Aminobacter	s__
OTU0859	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium	s__
OTU0860	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Phyllobacterium	s__
OTU0861	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	__	__
OTU0862	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__	s__
OTU0863	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__
OTU0864	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Agrobacterium	s__sullae
OTU0865	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Kaistia	s__
OTU0866	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	__
OTU0867	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__
OTU0868	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Shinella	s__
OTU0869	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__
OTU0870	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodobiaceae	g__Afifella	s__
OTU0871	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	__	__
OTU0872	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
OTU0873	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Labrys	s__
OTU0874	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	__	__
OTU0875	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__	s__
OTU0876	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Hyphomonadaceae	g__Woodsholea	s__maritima
OTU0877	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	__	__
OTU0878	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Amaricoccus	s__
OTU0879	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Oceanicella	s__actignis
OTU0880	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	__
OTU0881	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__
OTU0882	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Rhodobacter	s__maris
OTU0883	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	__	__	__
OTU0884	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__	g__	s__
OTU0885	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	__	__
OTU0886	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__	s__
OTU0887	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Acidisoma	s__
OTU0888	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Acidocella	s__
OTU0889	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseococcus	s__
OTU0890	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseomonas	__
OTU0891	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseomonas	s__
OTU0892	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	g__Roseomonas	s__aquatica
OTU0893	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	__	__
OTU0894	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
OTU0895	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Azospirillum	s__
OTU0896	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Azospirillum	s__amazonense
OTU0897	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Dongia	g_Dongia_s__mobilis
OTU0898	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Inquilinus	s__
OTU0899	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Inquilinus	s__limosus
OTU0900	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Magnetospirillum	s__
OTU0901	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Phaeospirillum	s__
OTU0902	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Reyranella	s__massiliensis
OTU0903	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Skermanella	s__
OTU0904	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__Telmatospirillum	s__
OTU0905	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	__	__	__
OTU0906	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__	s__
OTU0907	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__	s__
OTU0908	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__	s__
OTU0909	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__Rickettsia	s__Rickettsia endosymbiont of Deronectes platynotus
OTU0910	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__mitochondria	__	__
